id,first_name,last_name,gender,Math_score,Science_score
1,Melisenda,Erricker,Genderqueer,65,81
2,Goran,Grzelczyk,Male,67,56
3,Mitchael,Badby,Male,71,90
4,Helli,Brosch,Female,73,88
5,Aimee,Morfield,Female,,
6,Colene,Reihm,Genderfluid,98,69
7,Stefanie,Skepper,Female,67,89
8,Pier,Castanone,Female,92,87
9,Elicia,Cranmor,Agender,59,89
10,Jasper,Farey,Male,89,100
11,Junette,Buxy,Female,68,83
12,Trevor,Dellenbach,Male,86,83
13,Foster,Smartman,Male,62,72
14,Horatius,Merricks,Male,100,90
15,Alena,Smiley,Female,78,69
16,Marney,Pedrollo,Female,69,82
17,Tamra,Terrelly,Female,70,88
18,Meir,Grimmert,Male,72,94
19,Tobe,Wagge,Female,,78
20,Bradford,Hanes,Male,69,86
21,Ruth,Sidebotham,Genderqueer,,57
22,Ailee,Saintsbury,Female,92,66
23,Claybourne,Izachik,Male,100,77
24,Ernie,Wilcher,Male,66,64
25,Granville,Klinck,Male,67,71
26,Caria,MacKellar,Female,86,55
27,Ash,Desesquelle,Male,96,82
28,Ronica,Scollick,Polygender,60,
29,Mia,Vedyashkin,Female,90,82
30,Rudd,Alvarado,Male,82,59
31,Baillie,Fiske,Male,65,97
32,Stavro,Salzburg,Male,57,63
33,Gaylene,Snell,Female,97,59
34,Jeniece,Bielby,Female,61,66
35,Bertha,Benterman,Female,70,55
36,Parker,Swatman,Male,67,65
37,Rodge,Stanbro,Polygender,60,90
38,Charmain,Anderl,Female,89,59
39,Sloan,Lewty,Male,55,96
40,Wyndham,Doge,Male,,57
41,Teodorico,Sebley,Male,93,82
42,Lorrayne,Aickin,Female,85,84
43,Dorey,Nemchinov,Male,84,94
44,Shermie,Aim,Male,68,96
45,Andria,Shiliton,Female,,77
46,Georgiana,Whitford,Female,91,88
47,Gabriele,Goschalk,Male,58,73
48,Meredithe,Girling,Female,,96
49,Gerty,Poland,Genderfluid,92,65
50,Locke,Petre,Non-binary,94,75
51,Valerye,Wapplington,Female,63,100
52,Roland,De Filippis,Male,93,84
53,Bertie,Paschek,Female,69,98
54,Skip,Brabant,Male,98,89
55,Rycca,Gourlay,Female,85,69
56,Aurilia,Raisbeck,Female,73,66
57,Boycey,Vasilik,Male,,
58,Dorita,Tuxwell,Female,94,86
59,Petrina,Parke,Female,70,89
60,Herman,Keough,Male,78,60
61,Jerry,Harriskine,Male,72,
62,Britt,Osgorby,Male,76,91
63,Stanislas,Hallum,Male,58,72
64,Addi,Darbey,Female,,82
65,Tanhya,Fishley,Female,89,78
66,Pennie,Castanos,Female,94,98
67,Reece,Tansley,Male,95,90
68,Gypsy,Petz,Female,65,82
69,Edlin,Burkin,Male,63,86
70,Lisha,Brideau,Female,94,58
71,Finlay,Dowson,Male,82,88
72,Barny,Towner,Polygender,95,66
73,Babara,McAllen,Female,68,79
74,Hadlee,Marris,Genderfluid,,74
75,Kellen,Costa,Male,91,90
76,Bron,Tratton,Male,92,58
77,Lilias,Manns,Female,63,75
78,Ginger,Dax,Female,77,68
79,Gregorius,McCroary,Male,89,55
80,Yance,Gutowska,Male,82,97
81,Clari,Sharkey,Female,98,95
82,Eugenius,Cupitt,Male,61,
83,Lexine,Tome,Female,65,91
84,Prudence,Lunt,Female,93,
85,Nannie,Westbrook,Female,100,80
86,Ardyth,Alam,Female,69,85
87,Chev,Berkelay,Male,65,
88,Tobey,Giggs,Female,73,100
89,Bartholemy,Stedall,Male,68,76
90,Michaella,Fairhead,Female,95,85
91,Jereme,Brasseur,Male,61,
92,Marji,Furlow,Female,66,79
93,Dur,Hindmoor,Male,,85
94,Kaylyn,Tearle,Female,68,64
95,Vivien,Le feuvre,Female,65,86
96,Timmy,Plank,Male,86,
97,Alexia,Sighart,Female,,55
98,Malissa,Rubinowitsch,Female,76,88
99,Alfie,Mehaffey,Non-binary,57,79
100,Wolfy,Scowcroft,Male,98,93
101,Hunt,Hebner,Male,78,93
102,Ethelbert,Duckett,Male,73,74
103,Gertrud,Rudiger,Female,79,56
104,Symon,Prangley,Male,85,87
105,Kenneth,Rojel,Male,89,64
106,Aurthur,Rudgley,Male,58,85
107,Corette,Collinette,Female,63,94
108,Cristian,Pagitt,Agender,99,94
109,Reynold,Gascoyen,Male,95,79
110,Winonah,Dumini,Female,69,
111,Sharai,Julien,Female,,82
112,Lonna,Corain,Female,,84
113,Marcus,Chantillon,Agender,,92
114,Kathye,Flaxman,Female,78,100
115,Chere,Lambertz,Female,73,94
116,Renaldo,Zavattieri,Male,79,86
117,Phillida,Buffey,Agender,,92
118,Yul,Dugmore,Male,,91
119,Oralee,Bachman,Female,93,62
120,Ulric,Schottli,Non-binary,98,59
121,Hillel,Swidenbank,Bigender,85,87
122,Aguistin,Digance,Male,74,
123,Rasia,Lawless,Female,79,79
124,Hallsy,D'Abbot-Doyle,Male,,88
125,Demetre,Braben,Male,73,65
126,Nikoletta,Pulman,Female,95,80
127,Gwenni,Venny,Female,,
128,Merry,Hardcastle,Female,62,
129,Avrit,Bootell,Female,65,80
130,Romola,Gasperi,Female,81,88
131,Melitta,Borthwick,Female,97,78
132,Ursula,Maslin,Female,,92
133,Stormie,Risbie,Bigender,80,92
134,Kippar,Cowndley,Male,,73
135,Ellis,Couvert,Male,71,63
136,Collen,Caisley,Female,74,62
137,Rodge,Doorey,Male,56,84
138,Dell,Campes,Male,,77
139,Borden,Sanney,Male,90,72
140,Vicky,Assiratti,Female,85,59
141,Hillyer,Cantrill,Genderfluid,95,
142,Theo,Crockett,Polygender,69,78
143,Whitney,Kellett,Female,81,93
144,Daven,Varndell,Male,61,72
145,Eran,Forge,Female,87,55
146,Katti,Galley,Female,,56
147,Richie,Tennewell,Male,80,75
148,Brandie,Cocklin,Female,85,100
149,Florencia,Oakden,Female,86,88
150,Annabella,Megson,Female,96,
151,Neal,Crackett,Male,55,87
152,Nydia,Van der Hoven,Female,71,95
153,Mathias,Connerly,Male,91,82
154,Berry,Birts,Female,68,
155,Evyn,Riggott,Male,71,91
156,Nerti,Isaksen,Female,60,80
157,Annnora,Beckley,Female,98,77
158,Shaughn,Willbraham,Genderfluid,60,64
159,Row,Pantecost,Female,77,
160,Alicea,Steele,Female,90,90
161,Ephrayim,Grooby,Genderfluid,80,95
162,Rosene,Loughman,Female,72,77
163,Eric,Zielinski,Male,65,
164,Westbrooke,Gulc,Genderfluid,62,82
165,Donna,Ledekker,Female,67,96
166,Leonerd,Blasik,Male,100,63
167,Twila,Wannan,Female,67,97
168,Madalena,Pollastrone,Female,67,88
169,Denise,Jealous,Female,65,64
170,Karole,MacGilmartin,Female,96,88
171,Guss,Lattie,Male,93,94
172,Hersh,Dopson,Male,85,78
173,Charlene,Preuvost,Female,56,85
174,Malchy,Eliet,Male,68,99
175,Bev,Gravie,Male,96,82
176,Jemima,Keighly,Female,72,67
177,Gianna,Slingsby,Female,71,62
178,Solomon,Lisimore,Male,100,76
179,Agatha,MacCaughey,Female,69,81
180,Dana,Trounce,Male,60,98
181,Delcine,Tweede,Female,80,
182,Kellia,Jordison,Female,84,78
183,Wat,MacCorley,Male,92,57
184,Morris,Sibbald,Male,73,82
185,Cherise,Wilding,Female,70,88
186,Judd,Treadgold,Male,76,83
187,Kristoffer,Sisey,Polygender,90,79
188,Franciska,Willerson,Female,57,91
189,Thaddeus,Bilbery,Male,55,59
190,Rabbi,Cleaves,Agender,76,76
191,Der,Hegerty,Male,87,82
192,Gaultiero,Loade,Male,58,85
193,Jarred,Cullinan,Male,70,58
194,Irma,Merrigan,Female,92,77
195,Aldous,Janda,Male,64,70
196,Filmore,Sentinella,Male,90,89
197,Andi,Chaplin,Non-binary,99,66
198,Lorrin,Rottcher,Female,72,70
199,Larine,Rothon,Female,,94
200,Clem,Bulter,Female,75,81
201,Salomi,Felder,Female,,95
202,Calla,Bosson,Genderfluid,,67
203,Matthew,Bes,Male,55,60
204,Linn,Baribal,Female,,100
205,Dawna,Agostini,Female,84,79
206,Jerry,Shergill,Female,90,76
207,Sergio,Pinckard,Male,66,68
208,Marjie,Winny,Female,,73
209,Manfred,Gration,Male,84,57
210,Ranee,Evesque,Female,77,71
211,Ranee,Pau,Female,64,63
212,Falito,Screas,Male,93,86
213,Angie,Whittlesee,Female,80,75
214,Red,Sivess,Male,91,95
215,Archaimbaud,Sagg,Male,86,59
216,Magdalen,Deards,Female,85,83
217,Tisha,Velden,Female,86,71
218,Atlante,Kelf,Female,,66
219,Cristie,Spore,Female,57,80
220,Red,Spilsted,Male,98,78
221,Isa,Lamerton,Female,70,89
222,Trescha,Prestner,Female,86,68
223,Bailey,Jeyness,Male,86,78
224,Tiphani,Kalkhoven,Genderfluid,75,79
225,Brady,Orto,Male,56,59
226,Demeter,Roft,Female,61,85
227,Lillis,Blasiak,Female,84,81
228,Judith,Mitrikhin,Female,58,93
229,Serge,McGowran,Male,99,81
230,Marsha,Rickis,Female,67,
231,Veradis,Deplacido,Female,72,74
232,Rey,Duplan,Male,64,59
233,Gratiana,Clancy,Female,55,86
234,Vale,Synan,Male,79,
235,Vinnie,Lyles,Male,96,82
236,Vittorio,Mixture,Male,82,74
237,Claretta,Hame,Female,71,92
238,Maxy,Willis,Female,,76
239,Kele,Harte,Male,75,84
240,Maribelle,Cecil,Female,59,
241,Shea,Kinset,Male,69,75
242,Bernadette,Glossop,Female,55,63
243,Alberta,Laux,Bigender,72,97
244,Nikki,Aubrun,Male,,64
245,Bunni,Spellessy,Female,55,76
246,Corie,Livick,Female,80,61
247,Emory,Cunde,Genderfluid,91,92
248,Olympe,Rudgley,Female,89,81
249,August,Derle,Male,98,84
250,Marlin,Ebdon,Male,98,85
251,Far,Ciementini,Male,78,93
252,Silvio,Muspratt,Male,82,61
253,Gigi,Jilkes,Female,94,57
254,Puff,McArthur,Male,,62
255,Lena,Rubinchik,Female,58,61
256,Cody,Ateridge,Male,79,71
257,Harrie,Crier,Female,66,
258,Sheffy,Ballston,Male,63,79
259,Godart,Jankowski,Male,70,68
260,Baryram,Gerdes,Male,64,93
261,Ariela,Thow,Non-binary,95,92
262,Agnesse,Brenard,Female,79,71
263,Etienne,Hearst,Male,,59
264,Aubrey,Whyard,Female,80,59
265,Ki,de Cullip,Female,,77
266,Ben,Towll,Male,89,70
267,Nobe,Anslow,Polygender,83,71
268,Verney,McCracken,Agender,76,83
269,Annelise,Ties,Female,85,
270,Carmella,Hebblewhite,Female,,65
271,Garrott,Poytres,Male,,63
272,Bobby,Champerlen,Male,79,78
273,Nathalia,Androsik,Female,84,66
274,Junie,Spelsbury,Female,,69
275,Esteban,Roskrug,Male,55,
276,Kore,Clara,Female,82,68
277,Berkly,Hamshaw,Male,,69
278,Milli,Skule,Female,97,74
279,Nelle,Hamnett,Female,60,56
280,Gunilla,Meddemmen,Female,99,84
281,Katherina,Pennell,Bigender,66,62
282,Louise,Goodwyn,Female,88,80
283,Baillie,Lefley,Male,90,70
284,Jilli,Garie,Female,95,82
285,Marguerite,Hendin,Female,99,81
286,Chico,Gibby,Male,95,55
287,Pennie,McGonnell,Male,76,77
288,Bailey,Janeway,Male,,
289,Cal,Spick,Genderfluid,91,55
290,Clem,Ropking,Female,59,81
291,Gayla,Amphlett,Female,65,
292,Early,Robbey,Male,98,89
293,Bernardo,Hizir,Male,90,66
294,Elmo,Downey,Male,,60
295,Lindsay,Castella,Female,99,70
296,Kaine,Cowup,Male,80,61
297,Ignace,Oxtoby,Male,68,76
298,Torrey,Lamperti,Male,,96
299,Clark,Coleman,Male,77,90
300,Isadora,Bielfeld,Female,,59
301,Norman,Seys,Male,92,91
302,Jone,Crocroft,Male,74,86
303,Bald,Measham,Male,59,99
304,Abie,Sussans,Male,61,71
305,Rurik,Maginot,Male,84,69
306,Briny,Spittles,Female,66,
307,Merrile,Perulli,Female,78,
308,Gaston,Cawthron,Male,69,73
309,Howey,Burness,Male,84,63
310,Barbee,Kretschmer,Female,58,69
311,Sebastian,Grisenthwaite,Male,80,94
312,Neill,Edgson,Male,85,60
313,Wakefield,Evelyn,Genderfluid,77,98
314,Stefano,Voaden,Male,63,92
315,Lief,Bleckly,Non-binary,57,79
316,Frazier,Sappson,Male,79,92
317,Mitchell,Sancias,Male,85,91
318,Drud,Urey,Male,,98
319,Karel,Craydon,Female,,95
320,Hillary,Kitching,Female,75,97
321,Artie,Huntall,Male,91,91
322,Lisa,Julyan,Female,100,77
323,Kiri,Stood,Female,,70
324,Willa,Bulley,Female,,74
325,Ros,Depka,Non-binary,90,72
326,Anatollo,McSweeney,Male,67,65
327,Genevieve,Hellsdon,Female,95,
328,Regina,Adie,Female,100,
329,Marline,Powles,Female,,77
330,Nikki,Karppi,Female,71,69
331,Curtis,Loughton,Male,56,99
332,Valencia,Kordt,Female,80,91
333,Harrison,Rixon,Male,86,55
334,Joseph,Wheal,Male,64,94
335,Carolin,Zanutti,Female,80,74
336,Pall,Ramlot,Male,80,55
337,Khalil,Catchpole,Male,58,91
338,Devora,Bullant,Genderqueer,76,
339,Farley,Marishenko,Male,,86
340,Mike,Persence,Male,59,86
341,Roxana,Sillis,Non-binary,80,75
342,Deck,Hagley,Male,83,81
343,Mikel,France,Male,,64
344,Hinze,Pinnell,Male,60,89
345,Olga,Willcock,Female,77,
346,Boony,Palia,Male,68,62
347,Hebert,Cleere,Male,59,81
348,Rebecka,Malt,Female,58,
349,Gayler,McCowan,Male,93,58
350,Cole,Bauduccio,Male,71,
351,Johanna,Clampton,Female,65,77
352,Bethany,Giacopazzi,Female,72,67
353,Marisa,Morgan,Genderqueer,79,75
354,Bernelle,O'Rudden,Female,60,81
355,Donaugh,Armfield,Male,92,69
356,Barbabas,Mishaw,Male,91,76
357,Maude,Alger,Agender,63,72
358,Hewitt,Lippiatt,Male,89,97
359,Ferdy,Stapleton,Male,84,91
360,Dud,Strettle,Male,71,
361,Truman,Salasar,Male,,64
362,Rubetta,Leith-Harvey,Female,90,61
363,Britteny,Golsworthy,Female,65,77
364,Jessalin,Stovine,Female,71,93
365,Bliss,MacGuigan,Female,,88
366,Anett,Dodding,Female,80,
367,Marylou,Plinck,Female,86,81
368,Shandy,Rulf,Female,,99
369,Lusa,Noore,Female,80,68
370,Grantley,Probat,Male,71,75
371,David,Chapling,Male,87,70
372,Heinrik,Statham,Male,100,63
373,Blanch,Crofthwaite,Female,96,75
374,Orin,Sey,Male,89,97
375,Normie,Ashenhurst,Male,66,95
376,Cathyleen,Heazel,Non-binary,,
377,Trey,Crossman,Male,74,98
378,Karen,Aldus,Genderfluid,69,74
379,Sansone,Bigg,Male,56,74
380,Bobbie,Waldocke,Female,73,
381,Orin,Sirette,Male,90,94
382,Deeanne,Benoi,Female,87,75
383,Car,Satford,Male,89,67
384,Klement,Prescote,Male,87,
385,Karel,Manoch,Bigender,83,64
386,Pierrette,Northeast,Female,63,98
387,Roberto,Carlill,Male,,79
388,Eimile,Lawther,Female,61,
389,Minor,Bernardet,Male,71,87
390,Jobina,Schaben,Female,80,59
391,Lazare,Kenyon,Male,71,87
392,Kim,Phlipon,Male,90,70
393,Brian,Mulgrew,Male,98,78
394,Victoir,Chiese,Male,,98
395,Trenna,Kruschov,Female,64,
396,Arny,Reisin,Male,,83
397,Bailey,Coolbear,Male,84,80
398,Homere,Clemenza,Male,84,55
399,Viva,O'Shevlan,Female,67,75
400,Sydney,Pietzner,Female,92,57
401,Erin,Camlin,Male,87,81
402,Bev,Peskin,Male,75,86
403,Zabrina,Horburgh,Female,65,
404,Tory,Hassur,Female,67,88
405,Cointon,Gluyus,Male,85,62
406,Janette,Rawet,Female,64,92
407,Erich,MacGall,Male,61,95
408,Dav,Stairmond,Male,62,
409,Ruttger,Thripp,Male,84,81
410,Salomo,Laws,Male,84,78
411,Marilin,Ivushkin,Female,97,90
412,Stavros,Dowle,Male,62,96
413,Emmit,Densie,Male,67,80
414,Vivianna,Graben,Female,73,73
415,Gabie,Eddowis,Polygender,100,80
416,Silva,O'Brogane,Bigender,89,63
417,Valerye,Graal,Female,93,67
418,Bel,Greneham,Female,75,65
419,Derby,Filipchikov,Male,86,59
420,Stearn,Anwell,Male,66,
421,Zane,Turneux,Male,,77
422,Fionnula,Grindle,Female,81,
423,Mala,Nendick,Female,63,61
424,Sadye,Dupree,Female,60,81
425,Cristiano,Skaid,Male,91,56
426,Gui,Strippel,Female,80,87
427,Melinda,Barringer,Genderfluid,,85
428,Hamil,Pickervance,Male,76,
429,Elston,Doldon,Male,,88
430,Maxwell,Charlo,Male,96,75
431,Tammara,Glander,Female,74,87
432,Jule,Baggallay,Male,69,67
433,Stormie,Kelloway,Female,91,
434,Nanon,Purkins,Genderfluid,82,100
435,Hannah,Dreamer,Female,83,
436,Zaneta,Cruxton,Female,99,56
437,Garold,Emeline,Male,98,86
438,Reinaldo,Utting,Male,88,83
439,Rosalynd,Thorrold,Female,63,
440,Tate,Scurrer,Male,74,
441,Merill,Gregoli,Male,76,95
442,Nevil,Worsall,Male,,57
443,Bartholomeus,Chilley,Male,84,
444,Jennee,Schuricht,Female,,63
445,Arlee,Alpine,Female,83,
446,Griffith,Horsey,Male,57,65
447,Justis,Yerrell,Male,63,90
448,Abrahan,Aicheson,Male,84,
449,Fredra,McCanny,Female,79,61
450,Rowena,Flavelle,Female,55,
451,Shirline,Dillinger,Polygender,90,100
452,Noland,Chessil,Male,85,88
453,Caldwell,Whitwam,Genderfluid,66,89
454,Deck,Aldred,Male,67,59
455,Mackenzie,Hadcroft,Polygender,69,68
456,Selle,Linnock,Female,69,93
457,Wilow,Daber,Female,77,85
