id,first_name,last_name,gender,Math_score,Science_score,average_score,grade
1,Melisenda,Erricker,Genderqueer,65.0,81.0,73.0,C
2,Goran,Grzelczyk,Male,67.0,56.0,61.5,D
3,Mitchael,Badby,Male,71.0,90.0,80.5,B
4,Helli,Brosch,Female,73.0,88.0,80.5,B
5,Aimee,Morfield,Female,,,,D
6,Colene,Reihm,Genderfluid,98.0,69.0,83.5,B
7,Stefanie,Skepper,Female,67.0,89.0,78.0,C
8,Pier,Castanone,Female,92.0,87.0,89.5,B
9,Elicia,Cranmor,Agender,59.0,89.0,74.0,C
10,Jasper,Farey,Male,89.0,100.0,94.5,A
11,Junette,Buxy,Female,68.0,83.0,75.5,C
12,Trevor,Dellenbach,Male,86.0,83.0,84.5,B
13,Foster,Smartman,Male,62.0,72.0,67.0,D
14,Horatius,Merricks,Male,100.0,90.0,95.0,A
15,Alena,Smiley,Female,78.0,69.0,73.5,C
16,Marney,Pedrollo,Female,69.0,82.0,75.5,C
17,Tamra,Terrelly,Female,70.0,88.0,79.0,C
18,Meir,Grimmert,Male,72.0,94.0,83.0,B
19,Tobe,Wagge,Female,,78.0,,D
20,Bradford,Hanes,Male,69.0,86.0,77.5,C
21,Ruth,Sidebotham,Genderqueer,,57.0,,D
22,Ailee,Saintsbury,Female,92.0,66.0,79.0,C
23,Claybourne,Izachik,Male,100.0,77.0,88.5,B
24,Ernie,Wilcher,Male,66.0,64.0,65.0,D
25,Granville,Klinck,Male,67.0,71.0,69.0,D
26,Caria,MacKellar,Female,86.0,55.0,70.5,C
27,Ash,Desesquelle,Male,96.0,82.0,89.0,B
28,Ronica,Scollick,Polygender,60.0,,,D
29,Mia,Vedyashkin,Female,90.0,82.0,86.0,B
30,Rudd,Alvarado,Male,82.0,59.0,70.5,C
31,Baillie,Fiske,Male,65.0,97.0,81.0,B
32,Stavro,Salzburg,Male,57.0,63.0,60.0,D
33,Gaylene,Snell,Female,97.0,59.0,78.0,C
34,Jeniece,Bielby,Female,61.0,66.0,63.5,D
35,Bertha,Benterman,Female,70.0,55.0,62.5,D
36,Parker,Swatman,Male,67.0,65.0,66.0,D
37,Rodge,Stanbro,Polygender,60.0,90.0,75.0,C
38,Charmain,Anderl,Female,89.0,59.0,74.0,C
39,Sloan,Lewty,Male,55.0,96.0,75.5,C
40,Wyndham,Doge,Male,,57.0,,D
41,Teodorico,Sebley,Male,93.0,82.0,87.5,B
42,Lorrayne,Aickin,Female,85.0,84.0,84.5,B
43,Dorey,Nemchinov,Male,84.0,94.0,89.0,B
44,Shermie,Aim,Male,68.0,96.0,82.0,B
45,Andria,Shiliton,Female,,77.0,,D
46,Georgiana,Whitford,Female,91.0,88.0,89.5,B
47,Gabriele,Goschalk,Male,58.0,73.0,65.5,D
48,Meredithe,Girling,Female,,96.0,,D
49,Gerty,Poland,Genderfluid,92.0,65.0,78.5,C
50,Locke,Petre,Non-binary,94.0,75.0,84.5,B
51,Valerye,Wapplington,Female,63.0,100.0,81.5,B
52,Roland,De Filippis,Male,93.0,84.0,88.5,B
53,Bertie,Paschek,Female,69.0,98.0,83.5,B
54,Skip,Brabant,Male,98.0,89.0,93.5,A
55,Rycca,Gourlay,Female,85.0,69.0,77.0,C
56,Aurilia,Raisbeck,Female,73.0,66.0,69.5,D
57,Boycey,Vasilik,Male,,,,D
58,Dorita,Tuxwell,Female,94.0,86.0,90.0,A
59,Petrina,Parke,Female,70.0,89.0,79.5,C
60,Herman,Keough,Male,78.0,60.0,69.0,D
61,Jerry,Harriskine,Male,72.0,,,D
62,Britt,Osgorby,Male,76.0,91.0,83.5,B
63,Stanislas,Hallum,Male,58.0,72.0,65.0,D
64,Addi,Darbey,Female,,82.0,,D
65,Tanhya,Fishley,Female,89.0,78.0,83.5,B
66,Pennie,Castanos,Female,94.0,98.0,96.0,A
67,Reece,Tansley,Male,95.0,90.0,92.5,A
68,Gypsy,Petz,Female,65.0,82.0,73.5,C
69,Edlin,Burkin,Male,63.0,86.0,74.5,C
70,Lisha,Brideau,Female,94.0,58.0,76.0,C
71,Finlay,Dowson,Male,82.0,88.0,85.0,B
72,Barny,Towner,Polygender,95.0,66.0,80.5,B
73,Babara,McAllen,Female,68.0,79.0,73.5,C
74,Hadlee,Marris,Genderfluid,,74.0,,D
